Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,643,André,5.5,5.5,WOL,90,3.62,90,3.86,90,3.67,90,3.81,90,3.63,90,3.89,90,3.77,90,3.75,90,3.49,90,3.74,90,3.75,90,3.54,90,3.68,90,3.43,90,3.55,90,3.81,90,3.68,90,4.03,90,3.73
M,644,Bellegarde,5.5,5.5,WOL,90,3.46,90,3.59,90,3.63,90,3.52,90,4.2,90,3.78,90,3.73,90,4.23,90,3.84,90,3.46,90,3.42,90,3.58,90,3.44,90,3.7,90,3.63,90,3.37,90,3.76,90,3.75,90,3.51
M,645,Fer López,5.5,5.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,646,Gomes,5.5,5.5,WOL,90,3.85,90,4.08,90,3.93,90,4.02,90,4.1,90,4.18,90,4.07,90,4.21,90,3.84,90,3.94,90,3.94,90,3.83,90,3.89,90,3.76,90,3.85,90,3.96,90,4.01,90,4.23,90,3.96
M,647,Guedes,5.5,5.5,WOL,30,0.95,30,0.93,30,1.03,30,0.91,30,1.33,30,1.03,30,1.05,30,1.32,30,1.17,30,0.91,30,0.88,30,1.03,30,0.92,30,1.11,30,1.06,30,0.83,30,1.09,30,0.9,30,0.94
M,648,Munetsi,5.5,5.5,WOL,90,4.42,90,4.62,90,4.58,90,4.53,90,5.28,90,4.87,90,4.78,90,5.36,90,4.71,90,4.42,90,4.4,90,4.54,90,4.41,90,4.6,90,4.59,90,4.31,90,4.82,90,4.7,90,4.51
M,649,B.Traore,5.0,5.0,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,650,Chirewa,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,651,Edozie,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,652,Gonzalez,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,653,Hodge,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,654,Strand Larsen,6.5,6.5,WOL,60,2.27,60,2.2,60,2.39,60,2.17,60,3.19,60,2.45,60,2.5,60,3.15,60,2.71,60,2.15,60,2.1,60,2.49,60,2.2,60,2.66,60,2.53,60,1.93,60,2.65,60,2.04,60,2.24
F,655,Fábio Silva,5.0,5.0,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,656,Kalajdžić,5.0,5.0,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,657,Chiwome,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,658,Fraser,4.5,4.5,WOL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,659,Walker-Peters,4.5,4.5,WHU,30,1.11,30,0.69,30,0.73,30,0.85,30,0.73,30,0.77,30,0.57,30,0.76,30,0.92,30,0.71,30,1.13,30,0.58,30,0.6,30,0.67,30,0.61,30,0.78,30,0.51,30,0.82,30,0.76
M,660,Stach,5.0,5.0,LEE,0,5.45,0,4.71,0,4.59,0,5.19,0,5.22,0,4.79,0,4.53,0,5.56,0,5.12,0,5.43,0,4.38,0,5.87,0,5.13,0,8.42,0,6.16,0,5.51,0,5.41,0,5.73,0,7.2
F,660,Ekitiké,8.5,8.5,LIV,90,5.45,90,4.71,90,4.59,90,5.19,90,5.22,90,4.79,90,4.53,90,5.56,90,5.12,90,5.43,90,4.38,90,5.87,90,5.13,90,8.42,90,6.16,90,5.51,90,5.41,90,5.73,90,7.2
