id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
413,Omar,Marmoush,Marmoush,13,3,8.5,73,5.41,1.71,7.12,14.48,1174,7,1,8,12,0,0,0,0,0,0,12,326,318.0,246.7,410.0,97.3,14,0.41,0.0,0.13,0.54,1.11,0.92,9,650,17,23,1.07,0.61
414,Phil,Foden,Foden,13,3,8.0,105,5.17,5.33,10.49,29.11,1771,7,3,6,24,0,0,0,2,0,0,10,454,448.0,749.0,449.0,164.2,20,0.26,0.0,0.27,0.53,1.48,1.22,13,645,65,87,1.02,0.3
415,Sávio,Moreira de Oliveira,Savinho,13,3,7.0,106,5.02,6.10,11.12,21.39,1760,1,11,8,25,0,0,0,3,0,0,15,442,415.2,682.9,671.0,177.3,21,0.26,0.0,0.31,0.57,1.09,1.28,39,631,72,94,1.07,0.41
416,Bernardo,Mota Veiga de Carvalho e Silva,Bernardo,13,3,6.5,110,3.84,4.56,8.40,39.68,2667,4,4,10,36,0,0,0,7,0,0,13,568,603.0,800.4,532.0,193.6,29,0.13,0.0,0.15,0.28,1.34,1.21,47,591,114,358,0.98,0.34
417,Rayan,Cherki,Cherki,13,3,6.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,68,612,656,36,0,0
418,Jérémy,Doku,Doku,13,3,6.5,88,1.32,3.81,5.13,15.18,1506,3,6,8,14,0,0,0,1,0,0,3,425,453.8,515.9,528.0,150.0,16,0.08,0.0,0.23,0.31,0.91,0.84,58,602,136,180,0.96,0.48
419,Jack,Grealish,Grealish,13,3,6.5,38,1.13,1.67,2.80,11.33,710,1,1,2,10,0,0,0,3,0,0,4,187,157.2,321.4,234.0,71.3,7,0.14,0.0,0.21,0.35,1.44,1.27,45,589,265,642,0.89,0.25
420,İlkay,Gündoğan,Gündoğan,13,3,6.5,97,3.21,4.43,7.63,35.69,2218,1,7,10,28,0,0,0,1,0,0,5,460,387.0,781.3,273.0,144.2,25,0.13,0.0,0.18,0.31,1.45,1.14,42,586,147,613,1.01,0.41
421,Rodrigo 'Rodri',Hernandez Cascante,Rodrigo,13,3,6.5,3,0.00,0.09,0.09,0.33,72,0,0,0,1,0,0,0,0,0,0,0,21,12.2,17.5,0.0,3.0,1,0.0,0.0,0.11,0.11,0.41,1.25,53,597,378,159,1.25,0.0
422,Mateo,Kovačić,Kovačić,13,3,6.0,109,1.91,3.21,5.11,31.50,2194,6,3,10,29,0,0,0,5,1,0,13,542,606.4,579.3,204.0,139.1,25,0.08,0.0,0.13,0.21,1.29,1.19,75,550,88,655,1.03,0.41
423,Nico,González Iglesias,N.Gonzalez,13,3,6.0,31,0.45,0.48,0.93,8.99,760,1,1,6,7,0,0,0,3,0,0,0,123,137.2,78.7,62.0,27.5,9,0.05,0.0,0.06,0.11,1.06,0.83,101,576,164,611,1.07,0.71
424,Oscar,Bobb,Bobb,13,3,5.5,3,0.00,0.02,0.02,0.47,14,0,0,0,1,0,0,0,0,0,0,0,13,4.4,12.6,0.0,1.6,0,0.0,0.0,0.13,0.13,3.02,6.43,176,522,375,437,0.0,0.0
425,Claudio,Echeverri,Echeverri,13,3,5.5,1,0.00,0.01,0.01,0.45,5,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.4,0.0,0.3,0,0.0,0.0,0.18,0.18,8.1,0.0,199,545,376,619,0.0,0.0
426,James,McAtee,McAtee,13,3,5.5,31,2.80,0.80,3.60,5.25,340,3,0,0,6,0,0,0,1,0,0,0,102,113.0,64.6,136.0,30.7,3,0.74,0.0,0.21,0.95,1.39,1.59,159,505,235,505,0.79,0.0
427,Tijjani,Reijnders,Reijnders,13,3,5.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,160,506,639,99,0,0
428,Sverre,Nypan,Nypan,13,3,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,330,445,624,543,0,0
429,Kalvin,Phillips,Phillips,13,3,5.0,27,0.45,0.46,0.91,27.21,1231,0,0,1,30,0,0,0,4,1,0,0,167,181.8,116.2,41.0,33.8,14,0.03,0.0,0.03,0.06,1.99,2.19,220,335,315,566,1.02,0.07
430,Erling,Haaland,Haaland,13,4,14.0,181,21.90,2.04,23.94,41.27,2736,22,3,10,38,0,0,1,2,0,0,26,795,946.0,359.4,1511.0,281.8,31,0.72,0.0,0.07,0.79,1.36,1.25,2,657,5,21,1.02,0.33
431,Altay,Bayındır,Bayindir,14,1,5.0,8,0.00,0.00,0.00,6.93,360,0,0,1,10,0,0,0,0,0,8,0,22,80.0,0.0,0.0,7.9,4,0.0,2.0,0.0,0.0,1.73,2.5,290,405,248,208,1.0,0.25
432,André,Onana,Onana,14,1,5.0,120,0.00,0.20,0.20,47.79,3060,0,0,9,44,0,1,0,0,0,90,8,443,733.0,13.0,0.0,74.7,34,0.0,2.65,0.01,0.01,1.41,1.29,242,357,85,633,1.0,0.26
