Gameweek,Home Team,Away Team,Kickoff
GW12,Aston Villa,Crystal Palace,2024-11-23 15:00:00
GW12,Bournemouth,Brighton,2024-11-23 15:00:00
GW12,Everton,Brentford,2024-11-23 15:00:00
GW12,Fulham,Wolves,2024-11-23 15:00:00
GW12,Ipswich,Man Utd,2024-11-23 15:00:00
GW12,Leicester,Chelsea,2024-11-23 15:00:00
GW12,Man City,Spurs,2024-11-23 15:00:00
GW12,Newcastle,West Ham,2024-11-23 15:00:00
GW12,Southampton,Liverpool,2024-11-23 15:00:00
GW13,Brentford,Leicester,2024-11-30 15:00:00
GW13,Brighton,Southampton,2024-11-30 15:00:00
GW13,Chelsea,Aston Villa,2024-11-30 15:00:00
GW13,Crystal Palace,Newcastle,2024-11-30 15:00:00
GW13,Liverpool,Man City,2024-11-30 15:00:00
GW13,Man Utd,Everton,2024-11-30 15:00:00
GW13,Nott'm Forest,Ipswich,2024-11-30 15:00:00
GW13,Spurs,Fulham,2024-11-30 15:00:00
GW13,West Ham,Arsenal,2024-11-30 15:00:00
GW13,Wolves,Bournemouth,2024-11-30 15:00:00
GW14,Arsenal,Man Utd,2024-12-03 19:45:00
GW14,Aston Villa,Brentford,2024-12-03 19:45:00
GW14,Bournemouth,Spurs,2024-12-03 19:45:00
GW14,Everton,Wolves,2024-12-03 19:45:00
GW14,Fulham,Brighton,2024-12-03 19:45:00
GW14,Ipswich,Crystal Palace,2024-12-03 19:45:00
GW14,Leicester,West Ham,2024-12-03 19:45:00
GW14,Man City,Nott'm Forest,2024-12-04 19:45:00
GW14,Newcastle,Liverpool,2024-12-04 19:45:00
GW14,Southampton,Chelsea,2024-12-04 19:45:00
GW15,Aston Villa,Southampton,2024-12-07 15:00:00
GW15,Brentford,Newcastle,2024-12-07 15:00:00
GW15,Crystal Palace,Man City,2024-12-07 15:00:00
GW15,Everton,Liverpool,2024-12-07 15:00:00
GW15,Fulham,Arsenal,2024-12-07 15:00:00
GW15,Ipswich,Bournemouth,2024-12-07 15:00:00
GW15,Leicester,Brighton,2024-12-07 15:00:00
GW15,Man Utd,Nott'm Forest,2024-12-07 15:00:00
GW15,Spurs,Chelsea,2024-12-07 15:00:00
GW15,West Ham,Wolves,2024-12-07 15:00:00
GW16,Arsenal,Everton,2024-12-14 15:00:00
GW16,Bournemouth,West Ham,2024-12-14 15:00:00
GW16,Brighton,Crystal Palace,2024-12-14 15:00:00
GW16,Chelsea,Brentford,2024-12-14 15:00:00
GW16,Liverpool,Fulham,2024-12-14 15:00:00
GW16,Man City,Man Utd,2024-12-14 15:00:00
GW16,Newcastle,Leicester,2024-12-14 15:00:00
GW16,Nott'm Forest,Aston Villa,2024-12-14 15:00:00
GW16,Southampton,Spurs,2024-12-14 15:00:00
GW16,Wolves,Ipswich,2024-12-14 15:00:00
GW17,Aston Villa,Man City,2024-12-21 15:00:00
GW17,Brentford,Nott'm Forest,2024-12-21 15:00:00
GW17,Crystal Palace,Arsenal,2024-12-21 15:00:00
GW17,Everton,Chelsea,2024-12-21 15:00:00
GW17,Fulham,Southampton,2024-12-21 15:00:00
GW17,Ipswich,Newcastle,2024-12-21 15:00:00
GW17,Leicester,Wolves,2024-12-21 15:00:00
GW17,Man Utd,Bournemouth,2024-12-21 15:00:00
GW17,Spurs,Liverpool,2024-12-21 15:00:00
GW17,West Ham,Brighton,2024-12-21 15:00:00
GW18,Arsenal,Ipswich,2024-12-26 15:00:00
GW18,Bournemouth,Crystal Palace,2024-12-26 15:00:00
GW18,Brighton,Brentford,2024-12-26 15:00:00
GW18,Chelsea,Fulham,2024-12-26 15:00:00
GW18,Liverpool,Leicester,2024-12-26 15:00:00
GW18,Man City,Everton,2024-12-26 15:00:00
GW18,Newcastle,Aston Villa,2024-12-26 15:00:00
GW18,Nott'm Forest,Spurs,2024-12-26 15:00:00
GW18,Southampton,West Ham,2024-12-26 15:00:00
GW18,Wolves,Man Utd,2024-12-26 15:00:00
GW19,Aston Villa,Brighton,2024-12-29 15:00:00
GW19,Brentford,Arsenal,2024-12-29 15:00:00
GW19,Crystal Palace,Southampton,2024-12-29 15:00:00
GW19,Everton,Nott'm Forest,2024-12-29 15:00:00
GW19,Fulham,Bournemouth,2024-12-29 15:00:00
GW19,Ipswich,Chelsea,2024-12-29 15:00:00
GW19,Leicester,Man City,2024-12-29 15:00:00
GW19,Man Utd,Newcastle,2024-12-29 15:00:00
GW19,Spurs,Wolves,2024-12-29 15:00:00
GW19,West Ham,Liverpool,2024-12-29 15:00:00
