id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
409,Tino,Livramento,Livramento,15,2,4.5,12,0.00,0.01,0.01,5.03,300,0,0,1,3,0,0,0,0,0,0,1,41,67.8,15.4,0.0,8.4,4,0.0,0.0,0.0,0.0,1.51,0.9,420,164,106,108,1.2,0.3
410,Sean,Longstaff,Longstaff,15,3,4.9,7,0.00,0.03,0.03,5.20,271,0,0,1,3,0,0,0,1,0,0,0,36,29.4,18.2,6.0,5.4,4,0.0,0.0,0.01,0.01,1.73,1.0,293,204,203,212,1.33,0.33
411,Lewis,Miley,Miley,15,3,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,264,631,633,652,0,0
412,Odysseas,Vlachodimos,Odysseas,15,1,4.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,520,463,479,424,0,0
413,Nick,Pope,Pope,15,1,5.0,19,0.00,0.00,0.00,6.25,360,0,0,1,3,0,0,0,0,0,16,2,69,119.2,0.0,0.0,12.0,4,0.0,4.0,0.0,0.0,1.56,0.75,191,81,41,49,1.0,0.25
414,John,Ruddy,Ruddy,15,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,571,383,404,299,0,0
415,Fabian,Schär,Schär,15,2,5.4,6,0.14,0.01,0.15,1.19,117,1,0,0,1,0,0,0,0,1,0,0,16,46.8,1.6,15.0,5.9,2,0.11,0.0,0.01,0.12,0.92,0.77,140,118,109,191,1.54,0.0
416,Matt,Targett,Targett,15,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,590,397,417,241,0,0
417,Sandro,Tonali,Tonali,15,3,5.5,2,0.44,0.03,0.47,0.64,67,0,0,0,0,0,0,0,0,0,0,0,17,16.2,4.4,34.0,5.4,0,0.59,0.0,0.04,0.63,0.86,0.0,119,305,360,298,0.0,0.0
418,Kieran,Trippier,Trippier,15,2,5.8,2,0.00,0.04,0.04,1.22,58,0,0,0,0,0,0,0,0,0,0,0,6,9.0,10.1,0.0,1.9,0,0.0,0.0,0.06,0.06,1.89,0.0,93,306,365,62,0.0,0.0
419,Joe,White,White,15,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,431,525,537,334,0,0
420,Joe,Willock,Willock,15,3,4.8,5,0.16,0.10,0.26,0.79,65,0,1,0,0,0,0,0,0,0,0,0,27,34.4,54.6,16.0,10.5,0,0.22,0.0,0.14,0.36,1.09,0.0,333,168,135,395,0.0,0.0
421,Callum,Wilson,Wilson,15,4,6.9,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29,653,654,537,0,0
574,Miodrag,Pivaš,Pivas,15,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,655,450,469,431,0,0
590,William,Osula,Osula,15,4,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,263,630,632,407,0,0
26,Álex,Moreno Lopera,Alex Moreno,16,2,4.4,6,0.00,0.01,0.01,0.85,79,0,0,1,0,0,0,0,1,0,0,1,27,15.0,4.3,0.0,1.9,1,0.0,0.0,0.01,0.01,0.97,0.0,517,136,13,246,1.14,1.14
422,Ola,Aina,Aina,16,2,4.4,20,0.03,0.23,0.26,2.37,323,0,0,2,1,0,0,0,0,0,0,5,79,50.6,34.0,4.0,8.9,4,0.01,0.0,0.06,0.07,0.66,0.28,526,13,29,89,1.11,0.56
423,Elliot,Anderson,Anderson,16,3,5.0,13,0.10,0.12,0.22,2.20,242,0,1,2,2,0,0,0,1,0,0,2,60,64.8,58.0,30.0,15.3,3,0.04,0.0,0.04,0.08,0.82,0.74,217,57,95,370,1.12,0.74
